https://tudatalib.ulb.tu-darmstadt.de/handle/tudatalib/2478

Quelle	Autor	Titel	Jahr	Journal	Typ	DOI	Gelesen?	Empirisch?	Ausschlusspunkt	Ausschlussgrund	Kommentar	Feld	Thema	HMD	Interaction device	No Participants	Low Abstraction	Medium	High	Exactly like RE	Similar to RE	Different to RE	Training	No Training	Walking	Balance	Navigation / Orientation	Searching / Identifying	Reaching	Picking / Manual object interaction	Cognitive / Memory tasks	Spatial Perception	Quantitative	Qualitative	Experiment	Secondary research 	Subjective feedback	Consistent	Better	Worse
																	Abstraction			Comparison to real environment			Context		Order picking								Data type		Source			Results		
WOS	"Chaudhary, Ayesha Hoor; Bukhari, Faisal; Iqbal, Waheed; Nawaz, Zubair; Malik, Muhammad Kamran"	Laparoscopic Training Exercises Using HTC VIVE	2020	INTELLIGENT AUTOMATION AND SOFT COMPUTING		10.31209/2019.100000149	Görge		Titel	kein Zugriff																														
WOS	"Kim, Soo-Kyun; Lee, Chang-Hee; Kim, Sun-Jeong; Song, Chang-Geun; Lee, Jung"	Implementation of Local Area VR Environment using Mobile HMD and Multiple Kinects	2020	INTELLIGENT AUTOMATION AND SOFT COMPUTING		10.31209/2019.100000131	Görge		Titel	kein Zugriff																														
WOS	"Lee, Byong Kwon; Lee, Yang Sun"	Distinction Between Real Faces and Photos by Analysis of Face Data	2020	INTELLIGENT AUTOMATION AND SOFT COMPUTING		10.31209/2019.100000134	Görge		Titel	kein Zugriff																														
WOS	"Frederiksen, Joakim Grant; Sorensen, Stine Maya Dreier; Konge, Lars; Svendsen, Morten Bo Sondergaard; Nobel-Jorgensen, Morten; Bjerrum, Flemming; Andersen, Steven Arild Wuyts"	Cognitive load and performance in immersive virtual reality versus conventional virtual reality simulation training of laparoscopic surgery: a randomized trial	2020	SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES		10.1007/s00464-019-06887-8	Görge	Ja	Sample		evtl. Interessant: Training von Chirurgie	Medizin	Training	Oculus Rift	Lap sim surgery simulator	31	x			x			x					x		x		x	x		x					x
WOS	"Rafique, Muhammad Usman; Cheung, Sen-ching S."	Tracking Attacks on Virtual Reality Systems	2020	IEEE CONSUMER ELECTRONICS MAGAZINE		10.1109/MCE.2019.2953741	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Security	HTC Vive																										
WOS	"Checa, David; Bustillo, Andres"	Advantages and limits of virtual reality in learning processes: Briviesca in the fifteenth century	2020	VIRTUAL REALITY		10.1007/s10055-019-00389-7	Görge	Ja	Volltext	kein Bezug zu manueller Kommissionierung	evtl. interessant: Räumliches Lernen	Archäologie / Museen	Training	Oculust Rift	Oculus Touch controllers & gamepad	100																								
WOS	"Ammann, Jeanine; Hartmann, Christina; Peterhans, Vega; Ropelato, Sandro; Siegrist, Michael"	The relationship between disgust sensitivity and behaviour: A virtual reality study on food disgust	2020	FOOD QUALITY AND PREFERENCE		10.1016/j.foodqual.2019.103833	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Emotions / Empathy / Fear																											
WOS	"Curry, Christopher; Li, Ruixuan; Peterson, Nicolette; Stoffregen, Thomas A."	Cybersickness in Virtual Reality Head-Mounted Displays: Examining the Influence of Sex Differences and Vehicle Control	2020	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION		10.1080/10447318.2020.1726108	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Cybersickness / Fatigue																											
WOS	"Lee, Sang Hyeok; Kim, Martha; Kim, Hyosun; Park, Choul Yong"	Relationship between Ocular Fatigue and Use of a Virtual Reality Device	2020	JOURNAL OF THE KOREAN OPHTHALMOLOGICAL SOCIETY		10.3341/jkos.2020.61.2.125	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Cybersickness / Fatigue																											
