Title,Rank,Impact_Factor,5_Yr_IF,Half_Life,Percentage_Citable,Avg_IF_Percentile
ca-a cancer journal for clinicians,1,292.278,225.87,3.4,77.27,99.795
new england journal of medicine,2,74.699,72.098,8.7,84.45,99.697
nature reviews materials,3,71.189,84.972,2.8,2.27,99.678
nature reviews drug discovery,4,64.797,60.796,8.2,11.11,99.747
lancet,5,60.392,59.345,8.6,69.82,99.091
who technical report series,6,59.0,2.366,19.3,,99.741
nature reviews molecular cell biology,7,55.47,53.949,8.9,0.0,99.744
nature reviews clinical oncology,8,53.276,34.517,3.8,17.07,99.385
nature reviews cancer,9,53.03,52.659,9.1,4.65,98.975
chemical reviews,10,52.758,60.399,7.8,0.0,99.718
nature energy,11,46.495,56.397,2.7,89.25,99.538
jama-journal of the american medical association,12,45.54,47.677,10.0,78.0,98.485
reviews of modern physics,13,45.037,46.149,11.7,5.26,99.412
chemical society reviews,14,42.846,45.907,6.0,0.0,99.153
nature,15,42.778,46.486,10.9,97.67,99.296
science,16,41.845,44.372,11.2,91.73,97.887
nature reviews disease primers,17,40.689,42.523,3.0,100.0,97.879
world psychiatry,18,40.595,38.279,4.8,76.19,99.661
world psychiatry,18,40.595,38.279,4.8,76.19,99.661
nature reviews immunology,20,40.358,49.054,8.4,9.62,99.684
nature materials,21,38.663,43.608,7.7,94.44,99.46
cell,22,38.637,38.62,9.0,91.2,99.531
nature biotechnology,23,36.558,42.297,7.5,92.68,99.038
nature medicine,24,36.13,36.23,7.9,93.53,99.284
living reviews in relativity,25,35.429,38.185,7.8,0.0,98.276
nature reviews chemistry,26,34.953,34.953,2.1,0.0,98.588
nature reviews microbiology,27,34.209,36.883,8.0,0.0,99.63
lancet oncology,28,33.752,35.843,5.2,76.65,98.566
nature reviews neuroscience,29,33.654,36.673,10.1,0.0,99.815
nature reviews genetics,30,33.133,44.337,8.4,0.0,99.718
annual review of astronomy and astrophysics,31,32.963,40.347,10.8,0.0,99.265
journal of clinical oncology,32,32.956,25.597,8.0,95.09,98.156
progress in materials science,33,31.56,37.352,6.9,0.0,98.885
nature nanotechnology,34,31.538,40.301,6.2,94.33,98.555
nature photonics,35,31.241,36.87,6.0,92.17,99.255
nature methods,36,30.822,36.147,7.1,97.42,99.351
nature catalysis,37,30.471,30.48,1.4,88.39,99.057
energy & environmental science,38,30.289,33.075,5.3,83.96,99.036
bmj-british medical journal,39,30.223,27.997,11.0,73.74,97.273
lancet neurology,40,30.039,31.504,6.8,60.26,99.755
nature reviews gastroenterology & hepatology,41,29.848,23.722,4.6,4.65,99.432
cancer discovery,42,29.497,28.298,4.2,86.96,97.746
progress in energy and combustion science,43,28.938,30.711,9.4,0.0,98.879
nature reviews endocrinology,44,28.8,25.806,4.8,8.7,99.65
nature genetics,45,27.603,30.331,8.8,100.0,99.153
nature electronics,46,27.5,27.5,1.4,89.29,99.812
advanced materials,47,27.398,26.444,4.6,85.82,97.985
joule,48,27.054,27.059,1.5,83.06,97.535
nature reviews neurology,49,27.0,25.125,5.1,14.89,99.265
materials science & engineering r-reports,50,26.625,34.967,10.7,0.0,97.669
cancer cell,51,26.602,30.237,6.8,89.9,97.771
materials today,52,26.416,32.072,5.8,65.79,97.293
physics reports-review section of physics letters,53,25.798,24.659,12.9,0.0,98.235
annual review of biochemistry,54,25.787,25.388,12.3,0.0,99.158
physiological reviews,55,25.588,32.15,11.9,0.0,99.383
lancet diabetes & endocrinology,56,25.34,23.264,3.3,63.77,98.951
advanced energy materials,57,25.245,23.315,2.8,92.25,96.716
lancet respiratory medicine,58,25.094,23.225,3.5,74.32,98.915
jama oncology,59,24.799,23.246,2.5,85.43,96.926
lancet infectious diseases,60,24.446,22.945,4.7,69.93,99.462
ieee communications surveys and tutorials,61,23.7,25.928,4.1,97.6,99.562
circulation,62,23.603,21.054,11.3,96.33,99.434
european heart journal,63,22.673,22.162,5.4,87.55,98.913
progress in polymer science,64,22.62,29.063,8.5,0.0,99.438
clinical microbiology reviews,65,22.556,27.071,11.4,0.0,98.889
immunity,66,22.553,25.733,7.0,82.46,99.051
nature chemistry,67,21.687,24.633,5.8,98.39,96.893
lancet global health,68,21.597,22.408,3.1,85.83,99.464
lancet global health,68,21.597,22.408,3.1,85.83,99.464
cell metabolism,70,21.567,24.288,5.8,86.13,97.972
reviews of geophysics,71,21.449,22.628,14.6,0.0,99.412
annals of internal medicine,72,21.317,19.792,10.6,76.92,96.667
nature climate change,73,20.893,24.312,4.8,96.24,99.497
nature climate change,73,20.893,24.312,4.8,96.24,99.497
cell stem cell,75,20.86,23.452,5.9,88.03,97.728
psychological bulletin,76,20.85,24.611,21.9,66.67,99.494
psychological bulletin,76,20.85,24.611,21.9,66.67,99.494
accounts of chemical research,78,20.832,20.952,6.4,0.0,96.328
nature reviews nephrology,79,20.711,18.624,4.3,16.67,99.412
journal of the american college of cardiology,80,20.589,19.035,7.6,82.16,98.188
journal of hepatology,81,20.582,15.835,5.7,83.33,98.295
cell research,82,20.507,20.396,6.2,98.36,96.667
nature immunology,83,20.479,22.3,8.6,88.72,98.418
nature reviews cardiology,84,20.26,17.825,4.4,4.65,97.464
nature neuroscience,85,20.071,21.504,8.4,95.31,99.446
nature cell biology,86,20.042,20.96,8.8,86.67,96.154
living reviews in solar physics,87,20.0,19.923,7.3,0.0,97.794
annual review of immunology,88,19.9,28.727,10.7,0.0,97.785
gut,89,19.819,17.751,8.0,95.83,97.159
chem,90,19.735,20.292,1.9,79.19,95.763
annual review of physiology,91,19.556,17.248,11.1,0.0,98.148
annual review of plant biology,92,19.54,24.792,13.0,0.0,99.786
nature physics,93,19.256,20.921,6.0,98.95,97.059
acs energy letters,94,19.003,18.708,2.1,97.42,96.607
nature biomedical engineering,95,18.952,18.952,2.0,97.22,99.425
science robotics,96,18.684,20.131,1.9,98.48,98.214
jama internal medicine,97,18.652,19.658,3.9,91.41,96.061
