Titel,Autor,Jahr,Journal,Typ,DOI
laparoscopic training exercises using htc vive,"chaudhary, ayesha hoor; bukhari, faisal; iqbal, waheed; nawaz, zubair; malik, muhammad kamran",2020,intelligent automation and soft computing,,10.31209/2019.100000149
implementation of local area vr environment using mobile hmd and multiple kinects,"kim, soo-kyun; lee, chang-hee; kim, sun-jeong; song, chang-geun; lee, jung",2020,intelligent automation and soft computing,,10.31209/2019.100000131
distinction between real faces and photos by analysis of face data,"lee, byong kwon; lee, yang sun",2020,intelligent automation and soft computing,,10.31209/2019.100000134
cognitive load and performance in immersive virtual reality versus conventional virtual reality simulation training of laparoscopic surgery: a randomized trial,"frederiksen, joakim grant; sorensen, stine maya dreier; konge, lars; svendsen, morten bo sondergaard; nobel-jorgensen, morten; bjerrum, flemming; andersen, steven arild wuyts",2020,surgical endoscopy and other interventional techniques,,10.1007/s00464-019-06887-8
tracking attacks on virtual reality systems,"rafique, muhammad usman; cheung, sen-ching s.",2020,ieee consumer electronics magazine,,10.1109/MCE.2019.2953741
advantages and limits of virtual reality in learning processes: briviesca in the fifteenth century,"checa, david; bustillo, andres",2020,virtual reality,,10.1007/s10055-019-00389-7
the relationship between disgust sensitivity and behaviour: a virtual reality study on food disgust,"ammann, jeanine; hartmann, christina; peterhans, vega; ropelato, sandro; siegrist, michael",2020,food quality and preference,,10.1016/j.foodqual.2019.103833
cybersickness in virtual reality head-mounted displays: examining the influence of sex differences and vehicle control,"curry, christopher; li, ruixuan; peterson, nicolette; stoffregen, thomas a.",2020,international journal of human-computer interaction,,10.1080/10447318.2020.1726108
relationship between ocular fatigue and use of a virtual reality device,"lee, sang hyeok; kim, martha; kim, hyosun; park, choul yong",2020,journal of the korean ophthalmological society,,10.3341/jkos.2020.61.2.125
depth perception in shuffleboard: depth cues effect on depth perception in virtual and augmented reality system,"ping, jiamin; weng, dongdong; liu, yue; wang, yongtian",2020,journal of the society for information display,,10.1002/jsid.840
the challenges of using head mounted virtual reality in k-12 schools from a teacher perspective,"fransson, goran; holmberg, jorgen; westelius, claes",2020,education and information technologies,,10.1007/s10639-020-10119-1
older adults with cognitive and/or physical impairments can benefit from immersive virtual reality experiences: a feasibility study,"appel, lora; appel, eva; bogler, orly; wiseman, micaela; cohen, leedan; ein, natalie; abrams, howard b.; campos, jennifer l.",2020,frontiers in medicine,,10.3389/fmed.2019.00329
exploring virtual reality experiences of slum tourism,"griffin, tom; muldoon, meghan",2020,tourism geographies,,10.1080/14616688.2020.1713881
simulation and measurement: feasibility study of tactile internet applications for mmwave virtual reality,"na, woongsoo; dao, nhu-ngoc; kim, joongheon; ryu, eun-seok; cho, sungrae",2020,etri journal,,10.4218/etrij.2019-0284
motor program transformation of throwing dart from the third-person perspective,"tumialis, alexey; smirnov, alexey; fadeev, kirill; alikovskaia, tatiana; khoroshikh, pavel; sergievich, alexander; golokhvast, kirill",2020,brain sciences,,10.3390/brainsci10010055
alohomora: motion-based hotword detection in head-mounted displays,"gu, jiaxi; yu, zhiwen; shen, kele",2020,ieee internet of things journal,,10.1109/JIOT.2019.2946593
use of commercial virtual reality technology to assess verticality perception in static and dynamic visual backgrounds,"zaleski-king, ashley; pinto, robin; lee, general; brungart, douglas",2020,ear and hearing,,10.1097/AUD.0000000000000736
simplified virtual reality training system for radiation shielding and measurement in nuclear engineering,"hagita, katsumi; kodama, yuuki; takada, masashi",2020,progress in nuclear energy,,10.1016/j.pnucene.2019.103127
calibration and evaluation for visuo-haptic collocation in haptic augmented virtuality systems,"bae, yoosung; cha, baekdong; ryu, jeha",2020,international journal of control automation and systems,,10.1007/s12555-018-0882-3
a virtual reality role-playing serious game for experiential learning,"alrehaili, enas abdulrahman; al osman, hussein",2019,interactive learning environments,,10.1080/10494820.2019.1703008
an environmental scan of virtual and augmented reality services in academic libraries,"greene, david; groenendyk, michael",2019,library hi tech,,10.1108/LHT-08-2019-0166
a quantitative method for evaluation of 6 degree of freedom virtual reality systems,"jost, tyler a.; drewelow, grant; koziol, scott; rylander, jonathan",2019,journal of biomechanics,,10.1016/j.jbiomech.2019.109379
"effects of postural stability, active control, exposure duration and repeated exposures on hmd induced cybersickness","risi, dante; palmisano, stephen",2019,displays,,10.1016/j.displa.2019.08.003
virtual reality human-robot collaborative welding: a case study of weaving gas tungsten arc welding,"wang, qiyue; cheng, yongchao; jiao, wenhua; johnson, michael t.; zhang, yuming",2019,journal of manufacturing processes,,10.1016/j.jmapro.2019.10.016
weighting and reweighting of visual input via head mounted display given unilateral peripheral vestibular dysfunction,"lubetzky, anat v.; harel, daphna; kelly, jennifer; hujsak, bryan d.; perlin, ken",2019,human movement science,,10.1016/j.humov.2019.102526
the validity of an oculus rift to assess postural changes during balance tasks,"marchetto, jonathan; wright, w. geoffrey",2019,human factors,,10.1177/0018720819835088
do virtual reality head-mounted displays make a difference? a comparison of presence and self-efficacy between head-mounted displays and desktop computer-facilitated virtual environments,"shu, yu; huang, yen-zhang; chang, shu-hsuan; chen, mu-yen",2019,virtual reality,,10.1007/s10055-018-0376-x
transforming earth science education through immersive experiences: delivering on a long held promise,"klippel, alexander; zhao, jiayan; jackson, kathy lou; la femina, peter; stubbs, chris; wetzel, ryan; blair, jordan; wallgrun, jan oliver; oprean, danielle",2019,journal of educational computing research,,10.1177/0735633119854025
game play in virtual reality driving simulation involving head-mounted display and comparison to desktop display,"cao, shi; nandakumar, krithika; babu, raiju; thompson, benjamin",2019,virtual reality,,10.1007/s10055-019-00412-x
real-time volume rendering interaction in virtual reality,"kalarat, kosin; koomhin, phanit",2019,international journal of technology,,10.14716/ijtech.v10i7.3259
validation of the virtual reality neuroscience questionnaire: maximum duration of immersive virtual reality sessions without the presence of pertinent adverse symptomatology,"kourtesis, panagiotis; collina, simona; doumas, leonidas a. a.; macpherson, sarah e.",2019,frontiers in human neuroscience,,10.3389/fnhum.2019.00417
the impact of the input interface in a virtual environment: the vive controller and the myo armband,"de paolis, lucio tommaso; de luca, valerio",2019,virtual reality,,10.1007/s10055-019-00409-6
estimating cognitive workload in an interactive virtual reality environment using eeg,"tremmel, christoph; herff, christian; sato, tetsuya; rechowicz, krzysztof; yamani, yusuke; krusienski, dean j.",2019,frontiers in human neuroscience,,10.3389/fnhum.2019.00401
quantitative analysis of the oculus rift s in controlled movement,"jost, tyler a.; nelson, bradley; rylander, jonathan",2019,disability and rehabilitation-assistive technology,,10.1080/17483107.2019.1688398
the application of augmented reality and unity 3d in interaction with intangible cultural heritage,"huang, weibo; xiang, handun; li, shaohui",2019,evolutionary intelligence,,10.1007/s12065-019-00314-6
effects of steering locomotion and teleporting on cybersickness and presence in hmd-based virtual reality,"clifton, jeremy; palmisano, stephen",2019,virtual reality,,10.1007/s10055-019-00407-8
mobile-powered head-mounted displays versus cave automatic virtual environment experiments for evacuation research,"ronchi, enrico; mayorga, david; lovreglio, ruggiero; wahlqvist, jonathan; nilsson, daniel",2019,computer animation and virtual worlds,,10.1002/cav.1873
a novel head mounted display based methodology for balance evaluation and rehabilitation,"lee, eun-young; tran, van thanh; kim, dongho",2019,sustainability,,10.3390/su11226453
virtual reality gaming elevates heart rate but not energy expenditure compared to conventional exercise in adult males,"perrin, theo; faure, charles; nay, kevin; cattozzo, giammaria; sorel, anthony; kulpa, richard; kerherve, hugo a.",2019,international journal of environmental research and public health,,10.3390/ijerph16224406
virtual skills training: the role of presence and agency,"piccione, joseph; collett, james; de foe, alexander",2019,heliyon,,10.1016/j.heliyon.2019.e02583
feasibility of eye tracking assisted vestibular rehabilitation strategy using immersive virtual reality,"park, jeong hye; jeon, han jae; lim, eun-cheon; koo, ja-won; lee, hyo-jeong; kim, hyung-jong; lee, jung seop; song, chang-geun; hong, sung kwang",2019,clinical and experimental otorhinolaryngology,,10.21053/ceo.2018.01592
"the effects of viewing smart devices on static balance, oculomotor function, and dizziness in healthy adults","lee, donggeon; hong, soungkyun; jung, sunhye; lee, kyeongbong; lee, gyuchang",2019,medical science monitor,,10.12659/MSM.915284
exploration of temporal bone anatomy using mixed reality (hololens): development of a mixed reality anatomy teaching resource prototype,"maniam, pavithran; schnell, philipp; dan, lilly; portelli, rony; erolin, caroline; mountain, rodney; wilkinson, tracey",2020,journal of visual communication in medicine,,10.1080/17453054.2019.1671813
advantages of using 3d virtual reality based training in persons with parkinson's disease: a parallel study,"cikajlo, imre; potisk, karmen peterlin",2019,journal of neuroengineering and rehabilitation,,10.1186/s12984-019-0601-1
